,0
0,Colorado
1,Connecticut
2,Delaware
3,Florida
4,Hawaii
5,Idaho
6,Indiana
7,Kansas
8,Kentucky
9,Louisiana
10,Maine
11,Maryland
12,Massachusetts
13,Michigan
14,Mississippi
15,Missouri
16,New Hampshire
17,New Jersey
18,New Mexico
19,Ohio
20,Oklahoma
21,Pennsylvania
22,Tennessee
23,Utah
24,Vermont
25,Virginia
26,West Virginia
27,Wisconsin
28,Wyoming
